quantity,value
label,results_eft68_c6f21_c8f45_f1000_mh125_Glauber_C3p32667_Lambda1000
model_parameters.c6_over_f2_TeV2,1.0
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.3266666666666667
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.010857692841385418
derived_tree_coefficients.mu2_tree_GeV2,3957.7559906595197
derived_tree_coefficients.a0_mean_field,0.3407050349493464
derived_tree_coefficients.glauber_t0,0.20131656
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.4285923152424279
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,82869.44343905701
derived_tree_coefficients.combo_TeV2,2.90774
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 548.2711030182146)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,47.44404506527976
key_temperatures.Tc,77.68825500664336
key_temperatures.Ts_false,20.525636523432127
key_temperatures.Ts_true,91.41569335937474
key_temperatures.S_at_Tn,6644.221240741638
key_temperatures.S_over_Tn,140.0433127402953
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00036116194363126225
key_temperatures.phi_true_Tn,243.21261559454362
key_temperatures.vTn_over_Tn,5.126304370967941
key_temperatures.Tc_minus_Tn_over_Tc,0.3893022174172573
gw_scales.gw_T_star_GeV,47.44404506527976
gw_scales.gw_alpha,0.1835265713866035
gw_scales.gw_beta_over_H,245.93977467366085
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,2.2359283450284573
gw_peaks.sw.f_peak_Hz,0.0022359283450284575
gw_peaks.sw.omega_peak,4.868900894998263e-13
gw_peaks.turb.f_peak_mHz,3.8281224537963174
