quantity,value
label,results_eft68_c6f23p05657_c8f42_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.0565656565656565
model_parameters.c8_over_f4_TeV4,2.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.1593451599157055
derived_tree_coefficients.mu2_tree_GeV2,-1026.0262804634667
derived_tree_coefficients.a0_mean_field,0.2556036085708009
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.1593451599157055
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1026.0262804634667
derived_tree_coefficients.combo_TeV2,6.476227313131313
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,81.77452444728284
key_temperatures.Tc,95.09600675943469
key_temperatures.Ts_false,55.72922734374573
key_temperatures.Ts_true,96.34900585937464
key_temperatures.S_at_Tn,11454.091340791143
key_temperatures.S_over_Tn,140.06918925190683
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-5.3991471054883744e-05
key_temperatures.phi_true_Tn,225.37321831838673
key_temperatures.vTn_over_Tn,2.756032148663572
key_temperatures.Tc_minus_Tn_over_Tc,0.140084560499489
gw_scales.gw_T_star_GeV,81.77452444728284
gw_scales.gw_alpha,0.021877419273060382
gw_scales.gw_beta_over_H,990.6802586183757
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,15.49381854297249
gw_peaks.sw.f_peak_Hz,0.01549381854297249
gw_peaks.sw.omega_peak,1.1073093017610597e-16
gw_peaks.turb.f_peak_mHz,26.52689420538825
gw_peaks.turb.f_peak_Hz,0.02652689420538825
gw_peaks.turb.omega_peak,8.045605115924808e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,15.49381854297249
gw_peaks.total.f_peak_Hz,0.01549381854297249
gw_peaks.total.omega_peak,1.1073797981823474e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11458.923142927428
S3_over_T,140.12827613952794
bounce_diagnostics.label,results_eft68_c6f23p05657_c8f42_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
