quantity,value
label,results_eft68_c6f23p25051_c8f42_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.2505050505050503
model_parameters.c8_over_f4_TeV4,2.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.17694981446116
derived_tree_coefficients.mu2_tree_GeV2,-1558.7079176998277
derived_tree_coefficients.a0_mean_field,0.2468012812980737
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.17694981446116
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1558.7079176998277
derived_tree_coefficients.combo_TeV2,6.8641061010101
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,69.99406838475691
key_temperatures.Tc,89.44202419380683
key_temperatures.Ts_false,33.62332832030648
key_temperatures.Ts_true,93.3167499999997
key_temperatures.S_at_Tn,9799.47518679265
key_temperatures.S_over_Tn,140.0043662689387
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-3.898177000085207e-05
key_temperatures.phi_true_Tn,234.11870260246116
key_temperatures.vTn_over_Tn,3.3448363269229078
key_temperatures.Tc_minus_Tn_over_Tc,0.21743644538845908
gw_scales.gw_T_star_GeV,69.99406838475691
gw_scales.gw_alpha,0.04138097153251057
gw_scales.gw_beta_over_H,945.4257549083943
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,12.688769735470949
gw_peaks.sw.f_peak_Hz,0.012688769735470949
gw_peaks.sw.omega_peak,7.176136265104628e-16
gw_peaks.turb.f_peak_mHz,21.724383271678267
gw_peaks.turb.f_peak_Hz,0.021724383271678267
