quantity,value
label,results_eft68_c6f20_c8f40_f519p026_mh125_Glauber_C3p71212_Lambda1000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,519.0257749881414
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.7121212121212124
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.2246427272727273
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.4515069900377681
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,93948.60502968408
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 519.0257749881414)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,67.64424798049009
key_temperatures.Tc,82.32581801414696
key_temperatures.Ts_false,54.99088398437115
key_temperatures.Ts_true,92.49388281249973
key_temperatures.S_at_Tn,9468.811678444374
key_temperatures.S_over_Tn,139.979554228696
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00031805313439362405
key_temperatures.phi_true_Tn,235.9850390689267
key_temperatures.vTn_over_Tn,3.4886194482787265
key_temperatures.Tc_minus_Tn_over_Tc,0.17833494264380065
gw_scales.gw_T_star_GeV,67.64424798049009
gw_scales.gw_alpha,0.04779066399282071
gw_scales.gw_beta_over_H,1109.5414476591543
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,14.348197007390617
gw_peaks.sw.f_peak_Hz,0.014348197007390618
gw_peaks.sw.omega_peak,7.716675530448261e-16
gw_peaks.turb.f_peak_mHz,24.56548093663801
gw_peaks.turb.f_peak_Hz,0.02456548093663801
gw_peaks.turb.omega_peak,5.606899501567278e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,14.348197007390617
gw_peaks.total.f_peak_Hz,0.014348197007390618
gw_peaks.total.omega_peak,7.717166710979274e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9467.970811012987
S3_over_T,139.96712349797625
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f519p026_mh125_Glauber_C3p71212_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
