quantity,value
label,results_eft68_c6f23p3899_c8f40_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.38989898989899
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.1786166011477055
derived_tree_coefficients.mu2_tree_GeV2,-1498.3311175272738
derived_tree_coefficients.a0_mean_field,0.24596788795480093
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.1786166011477055
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1498.3311175272738
derived_tree_coefficients.combo_TeV2,6.77979797979798
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,71.20080207434222
key_temperatures.Tc,90.01203663525096
key_temperatures.Ts_false,34.96287050780654
key_temperatures.Ts_true,93.76952148437469
key_temperatures.S_at_Tn,9969.209262828945
key_temperatures.S_over_Tn,140.01540674246743
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.063712098683613e-05
key_temperatures.phi_true_Tn,233.37111745469662
key_temperatures.vTn_over_Tn,3.2776473109253605
key_temperatures.Tc_minus_Tn_over_Tc,0.20898576750502937
gw_scales.gw_T_star_GeV,71.20080207434222
gw_scales.gw_alpha,0.03885796814182321
gw_scales.gw_beta_over_H,585.2579746638801
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,8.00299804111444
gw_peaks.sw.f_peak_Hz,0.008002998041114439
gw_peaks.sw.omega_peak,1.5756659193417036e-15
gw_peaks.turb.f_peak_mHz,13.701895486497882
gw_peaks.turb.f_peak_Hz,0.013701895486497882
gw_peaks.turb.omega_peak,1.1448197982747152e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,8.00299804111444
gw_peaks.total.f_peak_Hz,0.008002998041114439
gw_peaks.total.omega_peak,1.575766434714664e-15
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9972.426245360602
S3_over_T,140.06058857241786
bounce_diagnostics.label,results_eft68_c6f23p3899_c8f40_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.063712098683613e-05
bounce_diagnostics.phi_absMin,233.37111745469662
bounce_diagnostics.phi_bar,117.12406940924687
bounce_diagnostics.phi_top,79.58039225884255
bounce_diagnostics.V(phi_meta),-65383058.68342683
bounce_diagnostics.V(phi_true),-84296937.7302539
