quantity,value
label,results_eft68_c6f20_c8f40_f794p017_mh125_Glauber_C6p34455_Lambda2000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,794.0168871141823
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,6.344545454545455
model_parameters.Lambda_glauber,2000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.09598662818181819
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-1.1185484910293682
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,643402.1170075572
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 794.0168871141823)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,79.40734854960847
key_temperatures.Tc,89.49862325700792
key_temperatures.Ts_false,68.622758593747
key_temperatures.Ts_true,97.22828710937465
key_temperatures.S_at_Tn,11115.054296336106
key_temperatures.S_over_Tn,139.97513453546625
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0012687494122388958
key_temperatures.phi_true_Tn,227.64678023520196
key_temperatures.vTn_over_Tn,2.8668225849775513
key_temperatures.Tc_minus_Tn_over_Tc,0.11275340714930251
gw_scales.gw_T_star_GeV,79.40734854960847
gw_scales.gw_alpha,0.027415686502749507
gw_scales.gw_beta_over_H,1887.9734784751106
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,28.64491511478483
gw_peaks.sw.f_peak_Hz,0.02864491511478483
gw_peaks.sw.omega_peak,5.751090242391061e-17
gw_peaks.turb.f_peak_mHz,49.04282508954986
gw_peaks.turb.f_peak_Hz,0.04904282508954986
gw_peaks.turb.omega_peak,4.178750915896799e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,28.64491511478483
gw_peaks.total.f_peak_Hz,0.02864491511478483
gw_peaks.total.omega_peak,5.751456217388063e-17
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11115.886720836601
S3_over_T,139.98561750103175
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f794p017_mh125_Glauber_C6p34455_Lambda2000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0012687494122388958
