quantity,value
label,results_eft68_c6f23p2_c8f40_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.2
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.16137871023861455
derived_tree_coefficients.mu2_tree_GeV2,-976.7470143999981
derived_tree_coefficients.a0_mean_field,0.2545868334093464
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.16137871023861455
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-976.7470143999981
derived_tree_coefficients.combo_TeV2,6.4
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,82.54216579517902
key_temperatures.Tc,95.58061625042245
key_temperatures.Ts_false,56.40736328124572
key_temperatures.Ts_true,96.78329687499962
key_temperatures.S_at_Tn,11555.993394162055
key_temperatures.S_over_Tn,140.00109256688535
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-5.1688253687114254e-05
key_temperatures.phi_true_Tn,224.69013368017656
key_temperatures.vTn_over_Tn,2.722125492051238
key_temperatures.Tc_minus_Tn_over_Tc,0.13641312398617023
gw_scales.gw_T_star_GeV,82.54216579517902
gw_scales.gw_alpha,0.021158509135639103
gw_scales.gw_beta_over_H,1270.6528146515766
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,20.118070324728365
gw_peaks.sw.f_peak_Hz,0.020118070324728364
gw_peaks.sw.omega_peak,6.124541409478673e-17
gw_peaks.turb.f_peak_mHz,34.4440540361618
gw_peaks.turb.f_peak_Hz,0.034444054036161804
gw_peaks.turb.omega_peak,4.4498928239273575e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,20.118070324728365
gw_peaks.total.f_peak_Hz,0.020118070324728364
gw_peaks.total.omega_peak,6.124931874638878e-17
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11554.406481693142
S3_over_T,139.98186709038342
bounce_diagnostics.label,results_eft68_c6f23p2_c8f40_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-5.1688253687114254e-05
bounce_diagnostics.phi_absMin,224.69013368017656
bounce_diagnostics.phi_bar,116.4587834465184
bounce_diagnostics.phi_top,77.3640439445811
bounce_diagnostics.V(phi_meta),-120478022.53929764
bounce_diagnostics.V(phi_true),-133962330.24370089
bounce_diagnostics.V(phi_top),-119219148.36332023
bounce_diagnostics.DeltaV_true_minus_meta,-13484307.704403251
