quantity,value
label,results_eft68_c6f20_c8f40_f787p203_mh125_Glauber_C6p45485_Lambda2000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,787.2034149244465
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,6.454848484848485
model_parameters.Lambda_glauber,2000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.09765540272727273
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-1.167088498713064
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,654165.296232743
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 787.2034149244465)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,73.5205677952207
key_temperatures.Tc,86.31549441165714
key_temperatures.Ts_false,60.2511062499964
key_temperatures.Ts_true,95.62437695312468
key_temperatures.S_at_Tn,10288.861198792845
key_temperatures.S_over_Tn,139.94534464764683
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0007316711278121993
key_temperatures.phi_true_Tn,232.43646799936667
key_temperatures.vTn_over_Tn,3.161516225592541
key_temperatures.Tc_minus_Tn_over_Tc,0.14823441264687295
gw_scales.gw_T_star_GeV,73.5205677952207
gw_scales.gw_alpha,0.036587969807982526
gw_scales.gw_beta_over_H,1330.6061712574242
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,18.918966775122765
gw_peaks.sw.f_peak_Hz,0.018918966775122767
gw_peaks.sw.omega_peak,2.582371840403173e-16
gw_peaks.turb.f_peak_mHz,31.89724157884989
gw_peaks.turb.f_peak_Hz,0.03189724157884989
gw_peaks.turb.omega_peak,1.8763988101565408e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,18.918966775122765
gw_peaks.total.f_peak_Hz,0.018918966775122767
gw_peaks.total.omega_peak,2.582537142455198e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,10288.346614715343
S3_over_T,139.9383454623449
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f787p203_mh125_Glauber_C6p45485_Lambda2000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0007316711278121993
bounce_diagnostics.phi_absMin,232.43646799936667
bounce_diagnostics.phi_bar,117.19182794650449
bounce_diagnostics.phi_top,79.68167889251917
bounce_diagnostics.V(phi_meta),-81761174.25135532
bounce_diagnostics.V(phi_true),-97871487.85131665
bounce_diagnostics.V(phi_top),-80760705.49691929
bounce_diagnostics.DeltaV_true_minus_meta,-16110313.599961326
bounce_diagnostics.r0,3.2522586232431833e-06
bounce_diagnostics.phi0,226.30511120791326
bounce_diagnostics.dphi0,-0.062349402387568864
bounce_diagnostics.rscale_cubic,0.03252258623243183
bounce_diagnostics.rscale_curv,0.030905570574475422
bounce_diagnostics.wall_r_hi,0.11767869835573701
bounce_diagnostics.wall_thickness,0.08352832617595071
bounce_diagnostics.S_total,10288.346614715343
