quantity,value
label,results_eft68_c6f23p52323_c8f40_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.5232323232323233
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.19071980114770548
derived_tree_coefficients.mu2_tree_GeV2,-1864.5497431272724
derived_tree_coefficients.a0_mean_field,0.23991628795480094
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.19071980114770548
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1864.5497431272724
derived_tree_coefficients.combo_TeV2,7.0464646464646465
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,63.959820833145066
key_temperatures.Tc,88.74701292049554
key_temperatures.Ts_false,8.305669726556836
key_temperatures.Ts_true,93.81085937499968
key_temperatures.S_at_Tn,8954.7219248498
key_temperatures.S_over_Tn,140.00542540934248
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,3.409754539465143e-05
key_temperatures.phi_true_Tn,237.8934679492959
key_temperatures.vTn_over_Tn,3.719420486963207
key_temperatures.Tc_minus_Tn_over_Tc,0.27930170573240815
gw_scales.gw_T_star_GeV,63.959820833145066
gw_scales.gw_alpha,0.05915265744752891
gw_scales.gw_beta_over_H,369.3888754134822
