quantity,value
label,results_eft68_c6f20_c8f40_f798p839_mh125_Glauber_C6p26818_Lambda2000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,798.8388963401937
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,6.2681818181818185
model_parameters.Lambda_glauber,2000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.09483132272727274
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-1.0855889557563791
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,635941.240114314
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 798.8388963401937)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,84.33225634281106
key_temperatures.Tc,92.87273305694036
key_temperatures.Ts_false,75.07604101562238
key_temperatures.Ts_true,99.64679687499961
key_temperatures.S_at_Tn,11802.527447726146
key_temperatures.S_over_Tn,139.9527056379093
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0012321902937791798
key_temperatures.phi_true_Tn,223.72727480038637
key_temperatures.vTn_over_Tn,2.6529264661309884
key_temperatures.Tc_minus_Tn_over_Tc,0.09195892521966725
gw_scales.gw_T_star_GeV,84.33225634281106
gw_scales.gw_alpha,0.021619964678928023
gw_scales.gw_beta_over_H,2362.142752338722
gw_scales.gw_v_w,1.0
